Year,NYCHA Development,Applied for the program,Were accepted and enrolled,Average wage of residents,Enrolled in financial counseling services through the program,Enrolled in college-readiness courses or participated in college-readiness activities through the program
2019,Stebbins Avenue-Hewitt Place,7,4,$15,4,4
2019,Sterling Place Rehabs (Saint Johns-Sterling),21,14,$15,14,14
2019,Sterling Place Rehabs (Sterling-Buffalo),32,12,$15,12,12
2019,Straus,21,11,$15,11,11
2019,Stuyvesant Gardens I,51,27,$15,27,27
2019,Stuyvesant Gardens II,NA,NA,NA,NA,NA
2019,Sumner,106,67,$15,67,67
2019,Surfside Gardens,32,18,$15,18,18
2019,Sutter Avenue-Union Street,11,8,$15,8,8
2019,Taft,113,54,$15,54,54
2019,Tapscott Street Rehab,21,12,$15,12,12
2019,Taylor Street-Wythe Avenue,25,15,$15,15,15
2019,Teller Avenue-East 166th Street,10,6,$15,6,6
2019,Throggs Neck,102,72,$15,72,72
2019,Throggs Neck Addition,39,21,$15,21,21
2019,Tilden,170,81,$15,81,81
2019,Todt Hill,47,14,$15,14,14
2019,Tompkins,196,143,$15,143,143
2019,Twin Parks East (Site 9),NA,NA,NA,NA,NA
2019,Twin Parks West (Sites 1 & 2),46,20,$15,20,20
2019,Two Bridges Ura (Site 7),24,9,$15,9,9
2019,Union Avenue-East 163Rd Street,1,NA,$15,NA,NA
2019,Union Avenue-East 166th Street,13,5,$15,5,5
2019,"Unity Plaza (Sites 17,24,25A)",26,18,$15,18,18
2019,Unity Plaza (Sites 4-27),61,36,$15,36,36
2019,University Avenue Rehab,13,8,$15,8,8
2019,Upaca (Site 5),NA,NA,NA,NA,NA
2019,Upaca (Site 6),1,1,$15,1,1
2019,"Van Dyke I, II",302,230,$15,230,230
2019,Vandalia Avenue,1,1,$15,1,1
2019,Vladeck,79,34,$15,34,34
2019,Vladeck II,25,11,$15,11,11
2019,Wagner,393,322,$15,322,322
2019,Wald,118,54,$15,54,54
2019,Washington,153,80,$15,80,80
2019,Washington Heights Rehab (Groups 1&2),10,3,$15,3,3
2019,Washington Heights Rehab Phase III,7,5,$15,5,5
2019,Washington Heights Rehab Phase Iv (C),2,NA,$15,NA,NA
2019,Washington Heights Rehab Phase Iv (D),1,NA,$15,NA,NA
2019,Webster,83,41,$15,41,41
2019,Weeksville Gardens,44,21,$15,21,21
2019,West Brighton,177,148,$15,148,148
2019,West Farms Road Rehab,16,5,$15,5,5
2019,West Farms Square Conventional,4,2,$15,2,2
2019,West Tremont Avenue-Sedgwick Avenue Area,3,NA,$15,NA,NA
2019,Whitman,161,72,$15,72,72
2019,Williams Plaza,32,23,$15,23,23
2019,Williamsburg,71,46,$15,46,46
2019,Wilson,69,29,$15,29,29
2019,Wise Towers,24,14,$15,14,14
2019,Woodside,93,45,$15,45,45
2019,Woodson,NA,NA,NA,NA,NA
2019,Wsur (Brownstones),4,2,$15,2,2
2019,Wsur (Site A) 120 West 94th Street,1,NA,$15,NA,NA
2019,Wsur (Site B) 74 West 92Nd Street,6,3,$15,3,3
2019,Wsur (Site C) 589 Amsterdam Avenue,15,6,$15,6,6
2019,Wyckoff Gardens,54,27,$15,27,27
2019,Totals,18717,10643,$15,10643,10643
