Year,City Council District,Borough,Total number of resident job placements,Average wage of such residents,Total number of resident connections to services,Total number of residents that applied for the NYCHA Resident Training Academy,Total number of residents that were accepted and enrolled,Total number residents placed into full-time or part-time jobs,Average Wage of such residents,Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program,Total number of residents enrolled in vocational training programs through the program,Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program
2019,24,Queens,23,26.82,49,14,<5,<5,15,<5,<5,N/A
2019,25,Queens,<5,40.65,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,26,Queens,29,25.18,130,72,12,10,15,6,5,<5
2019,27,Queens,5,34.33,28,N/A,N/A,N/A,N/A,N/A,<5,N/A
2019,28,Queens,17,24.29,47,20,<5,<5,15,N/A,<5,N/A
2019,29,Queens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,30,Queens,5,44.43,5,N/A,N/A,N/A,N/A,<5,<5,N/A
2019,31,Queens,38,27.54,191,44,11,9,15,<5,<5,N/A
2019,32,Queens,<5,36.03,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,33,Brooklyn,26,24.05,148,43,5,5,15,6,12,<5
2019,34,Brooklyn/Queens,46,25.79,169,66,13,12,15.17,N/A,20,<5
2019,35,Brooklyn,68,26.32,292,157,33,32,16.71,<5,15,<5
2019,36,Brooklyn,82,21.23,352,177,49,35,15.79,5,22,<5
2019,37,Brooklyn,16,32.39,98,22,6,<5,15,<5,14,N/A
2019,38,Brooklyn,24,18.90,88,35,6,5,15,<5,7,<5
2019,39,Brooklyn,<5,14.80,5,N/A,N/A,N/A,N/A,N/A,<5,N/A
2019,40,Brooklyn,<5,28.48,21,<5,N/A,N/A,N/A,<5,<5,N/A
2019,41,Brooklyn,112,20.68,485,277,56,42,15,N/A,44,<5
2019,42,Brooklyn,82,19.13,480,211,38,31,15,9,19,<5
2019,43,Brooklyn,<5,36.42,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,44,Brooklyn,<5,53.67,5,N/A,N/A,N/A,N/A,N/A,<5,N/A
2019,45,Brooklyn,15,27.40,71,20,<5,<5,15,N/A,<5,<5
2019,46,Brooklyn,42,24.55,166,101,16,12,15,<5,10,<5
2019,47,Brooklyn,58,24.58,169,78,19,15,15,<5,10,<5
2019,48,Brooklyn,<5,51.54,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,49,Staten Island,18,27.89,468,25,<5,<5,15,56,<5,<5
2019,50,Staten Island,10,28.66,59,12,<5,<5,15,6,<5,N/A
2019,51,Staten Island,<5,24.86,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,Unknown,N/A,45,N/A,19,<5,N/A,N/A,N/A,<5,N/A,N/A
2020,1,Manhattan,28,27.94,64,23,<5,<5,21.25,<5,13,N/A
2020,2,Manhattan,38,23.09,130,42,8,<5,15.80,<5,21,N/A
2020,3,Manhattan,10,18.80,29,13,<5,<5,15.80,N/A,<5,N/A
2020,4,Manhattan,N/A,N/A,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,5,Manhattan,8,17.54,42,12,<5,<5,15.53,6,7,N/A
2020,6,Manhattan,9,17.35,35,10,<5,<5,15.00,<5,9,<5
2020,7,Manhattan,42,24.75,94,36,8,8,20.72,<5,17,N/A
2020,8,Manhattan/Bronx,114,21.76,338,112,27,22,16.90,17,87,5
2020,9,Manhattan,66,21.77,186,66,18,11,15.44,9,53,N/A
2020,10,Manhattan/ Bronx,10,27.83,31,11,<5,<5,15.00,<5,5,N/A
2020,11,Bronx,<5,29.58,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,12,Bronx,18,21.25,77,25,5,<5,15.53,N/A,18,N/A
2020,13,Bronx,20,19.91,46,14,6,5,15.48,<5,<5,<5
2020,14,Bronx,14,21.16,44,7,<5,<5,15.80,<5,<5,N/A
2020,15,Bronx,14,23.55,51,<5,N/A,N/A,N/A,5,6,N/A
2020,16,Bronx,47,22.64,136,25,12,11,17.64,10,12,<5
2020,17,Bronx,26,20.76,86,25,8,7,15.23,7,19,N/A
2020,18,Bronx,39,24.03,118,25,5,10,28.86,5,10,N/A
2020,19,Queens,<5,21.75,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,20,Queens,5,38.46,10,<5,N/A,N/A,N/A,N/A,<5,N/A
2020,21,Queens,7,42.03,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,22,Queens,13,23.29,31,9,<5,<5,N/A,6,<5,N/A
2020,23,Queens,<5,59.83,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,24,Queens,12,20.42,27,12,<5,<5,N/A,<5,<5,N/A
2020,25,Queens,6,38.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,26,Queens,34,24.81,130,44,8,6,N/A,10,10,N/A
2020,27,Queens,<5,20.44,13,N/A,N/A,N/A,N/A,<5,N/A,N/A
